Company Name,Website,Account Stage,Lists,# Employees,Industry,Account Owner,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Research target company 5822,Final Analysis of Qualification 3345,Assign as B2B or B2C 4355,Know if a company had executive changes 6825,Determine research guidelines 6759,Prerequisite: Research Target Company,Prerequisite: Determine Research Guidelines,Qualify Account,E-Commerce Platform,Column 1,Column 2
Digifabshop | CWKA,http://www.digifabshop.com,Cold,Concrete World 2025,41,construction,jason.hendrix@jamersan.com,http://www.linkedin.com/company/digifabshop,https://facebook.com/digifabshop/,https://twitter.com/digifabshop?lang=en,,,,,,,"digital fabrication, architectural woodwork, cnc manufacturing, finishing, metal work, welding, fixtures, upholstery, architectural interiors, fabrication, stone, solid surfaace, powder coat, design, waterjet cutting, laser cutting, cross laminated timber, clt, furniture, art fabrication, home decor",+1 518-249-6500,"Outlook, Typekit, Mobile Friendly, Squarespace ECommerce, Remote",,,,,6750000,,68c1a2eb4d57020001f6eb80,,,"Digifabshop is a digital fabrication company based in Hudson, New York, specializing in custom architectural interiors, building components, displays, and fixtures. They excel in integrating various materials, including wood, metal, stone, solid surface, glass, and upholstery, to create sophisticated architectural features and finishes.

The company offers services such as laser cutting, CNC milling, 3D scanning, and design assistance for architectural projects. Their expertise supports a wide range of sectors, including retail, restaurants, commercial offices, amenity spaces, and modular construction. With a focus on precision and innovation, Digifabshop emphasizes custom manufacturing and advanced digital fabrication technologies.

Employing approximately 100-200 people, Digifabshop generates annual revenues estimated between $22 million and $50 million. Their clientele mainly consists of architects, designers, and commercial developers looking for tailored, high-quality architectural components and interiors.",2007,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/691dab9ca2e0f100019fe624/picture,,,,,,,,,,,,,,,,
"Dripless, Inc.",http://www.dripless.es,Cold,Concrete World 2025,3,apparel & fashion,jason.hendrix@jamersan.com,http://www.linkedin.com/company/dripless,https://facebook.com/driplessinc,https://twitter.com/driplessinc,,,,,,,"fashion accessories manufacturing, apparel & fashion",+1 707-568-5081,"Gmail, Google Apps, Outlook, Microsoft Office 365, Facebook Widget, Varnish, Facebook Custom Audiences, Mobile Friendly, Woo Commerce, Facebook Login (Connect), Google Tag Manager, Apache, WordPress.org, Multilingual, Nginx, Google Font API, Google Maps",,,,,,,68c1a2eb4d57020001f6eb88,,,"Our patented design prevents watermarks and adds elegance to any table.

Decorate your table with Dripless to create a distinguished atmosphere for your guests. Our variety of colors and formats make Dripless the ideal companion for your special occasions. Personalize yours for any event.

Forget about single-use coasters and reuse your Dripless, a unique and sustainable solution for your table.",2024,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/690cf26c76846a000118dd05/picture,,,,,,,,,,,,,,,,
Durajoint Waterstops / Preco Concrete Accessories,http://www.durajoint.com,Cold,Concrete World 2025,29,construction,jason.hendrix@jamersan.com,http://www.linkedin.com/company/durajoint-concrete-accessories,https://facebook.com/durajoint-concrete-accessories-174525119272642,,,,,,,,"plastic extrusion & molding, manufacturing, contract manufacturing, concrete construction accessories, waterstop, concrete accessories, custom manufacturing, waterstop for high load support, support supports, waterstop for water containment, waterstop for slab joints, custom waterstop solutions, waterstop for chemical resistance, waterstop cross reference, waterstop manufacturing, waterstop sealants, waterstop quality, waterstop industry standards, waterstop for construction joints, waterstop for tilt-up, waterstop installation tools, concrete project support, waterstop for waterstop profile customization, waterstop for precast, waterstop for precast panel joints, waterstop profile selection, waterstop durability, other concrete product manufacturing, waterstop compatibility, tilt-up supports, construction products, waterstop replacement, waterstop repair, plastic supports, pvc waterstop, rebar chairs, rebar supports, b2b, waterstop cross reference guide, concrete joint waterstop, waterstop engineering, waterstop profile design, services, concrete joint supports, concrete joint accessories, e-commerce, waterstop innovation, waterstop types, waterstop design, post-tensioned concrete, waterproofing materials, waterstop profiles, concrete products, waterstop for post-tensioned concrete, waterstop for cast-in-place, waterstop for water-tight construction, waterstop testing, building materials, waterstop chemical resistance, waterstop installation, construction materials, waterstop for tilt-up wall joints, precast concrete accessories, waterstop supplier, waterstop profile engineering, construction, concrete_supports, waterstop_profiles, waterproofing, support_supports, rebar_supports, plastic_supports, waterstop_technology, waterstop_quality, waterstop_innovation, waterstop_durability, waterstop_industry_standards, waterstop_customization, waterstop_compatibility, waterstop_chemical_resistance, waterstop_installation, waterstop_testing, waterstop_supplier, concrete_accessories, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",+1 888-833-8308,"Outlook, Microsoft Office 365, reCAPTCHA, Wordpress.com, Google Tag Manager, WordPress.org, Nginx, Shutterstock, Mobile Friendly, Remote",,,,,,,68c1a2eb4d57020001f6eb8a,1742,32739,"Durajoint Concrete Accessories located in Garrettsville Ohio is a veteran-owned manufacturer of branded products produced for the concrete industry, Durajoint® Waterstop (PVC, TPER, Arctic Grade, Hydrophilic and  Non-Hydrophilic) and Preco® Forming Accessories (rebar supports, spacers, and forming accessories). These leading brands are sold through two distinct sales channels, the distributor-based Cast-In-Place Division, and the producer-based Precast Division. Global sales, customer service, and technical support are performed by an internal sales team, product support staff, and outside sales force consisting of manufactures'​ representatives.
 
In the Early 1950's, Electrovert, a New York based plastics company developed Durajoint® the ""Original PVC Waterstop"". The original conception of Durajoint® PVC Waterstop was developed and used in a project for the St. Lawrence Seaway, which was once considered an impassable river. With the project completion in 1959 it consisted of 19 locks and 6 canals. Ranked as one of the most outstanding feats of engineering in the twentieth century, this gateway to North America has allowed 2.5 billion tons of cargo over the last 50 years to travel between the Atlantic Ocean and Great Lakes region.

In the mid 1960's, W.R. Grace purchased the Electrovert Company and began marketing the Durajoint® brand under their construction products division, later known as A.C. Horn. In 1993, Tamms Industries purchased A.C. Horn from W.R. Grace, and folded the Durajoint® brand under Tamms. In March of 2001 Michael E. Diskin a former executive of Master Builders Technologies (later known as BASF) purchased the Durajoint® PVC Waterstop line from Tamms and marketed it under the company banner of Durajoint® Concrete Accessories.

In December of 2004, the opportunity to expand the concrete accessories line arose with the acquisition of the Master Builders Preco Concrete Accessories line.",1950,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6919a1792a94220001acb786/picture,,,,,,,,,,,,,,,,
"Eagle Industries – Tarps, Poly, Netting",http://www.eagleind.com,Cold,Concrete World 2025,160,building materials,jason.hendrix@jamersan.com,http://www.linkedin.com/company/eagle-industries,https://www.facebook.com/eagleindustriesnola,,,,,,,,"debris netting, scaffold sheeting, construction safety netting, winter enclosure tarps, containment tarps, sandblast screens, shrink wrap containment, flame retardant poly tarps, and more, wholesale building materials, scaffolding safety net, industrial equipment & supplies, debris containment, hazard safety barrier, environmental control, jobsite protection, fall protection, industrial safety, fireproof tarps, hazard safety netting, scaffolding enclosure, ornamental and architectural metal products manufacturing, storm protection tarps, containment solutions, environmental services, scaffolding tarps, scaffold netting, petrochemical, hazard barrier, weather enclosure, b2b, hazard prevention, coated geotarp, keder roof sheeting, weather protection, government, flame retardant tarps, scaffold wind clips, dust control, construction, scaffolding safety, pour-in-place netting, industrial enclosures, marine, environmental containment, site safety, uv protected netting, reinforced poly sheeting, hazard safety net, tepe containment system, services, dust containment, storm tarps, disaster relief tarps, drop object prevention mat, scaffolding enclosures, storm protection, hazard mitigation, micronet screen, e-commerce, debris control, construction tarps, construction safety, safety netting, distribution, renewables & environment, consumer internet, consumers, internet, information technology & services",+1 800-266-8246,"Outlook, Microsoft Office 365, GoDaddy Hosting, Google Cloud Hosting, Microsoft Azure, Typekit, Google Maps, Varnish, DoubleClick, Hubspot, Linkedin Marketing Solutions, Google Analytics, WordPress.org, Hotjar, DoubleClick Conversion, YouTube, Vimeo, Google Tag Manager, Adobe Media Optimizer, Google Font API, reCAPTCHA, Cedexis Radar, Google Dynamic Remarketing, Active Campaign, Mobile Friendly, Wistia, Google Maps (Non Paid Users), Wix, Google AdWords Conversion, Remote",,,,,5657000,,68c1a2eb4d57020001f6eb93,1799,33232,"Eagle Industries, based in New Orleans, Louisiana, is a prominent supplier of containment and jobsite protection products for the industrial and construction sectors. The company is dedicated to enhancing safety and productivity on jobsites through innovative solutions. Their mission focuses on delivering quality products that ensure customer safety and efficiency.

The product range includes specialty tarps, debris netting, scaffold netting, shrink wrap, safety nets, reinforced poly, privacy fence screens, concrete curing blankets, containment tarps, and jobsite building enclosures. These products are designed to meet the rigorous demands of construction environments, providing protection against weather and debris.

Eagle Industries employs around 298 people and generates approximately $20.6 million in revenue. The company emphasizes American-made products and adheres to industry standards, positioning itself as a trusted partner for jobsite safety and containment.",1988,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6919a71d24c55e0001fb55a0/picture,,,,,,,,,,,,,,,,
Epoxy Depot,http://www.epoxydepotusa.com,Cold,"Concrete World 2025, Tooling & Fasteners",24,retail,jason.hendrix@jamersan.com,http://www.linkedin.com/company/epoxydepot,,,,,,,,,"epoxy counters, metallic finishes, epoxy distribution, slip-resistant flake systems, construction, e-commerce, vibrant concrete dyes, epoxy training programs, metallic epoxy floors, resinous coatings application, epoxy application techniques, epoxy flooring competition, resinous coating solutions, services, manufacturing, resinous coatings, cold weather epoxy, decorative overlays, decorative concrete, all other nonmetallic mineral product manufacturing, retail, surface preparation, high-quality tools, moisture mitigation, stained concrete, metallic finishes training, training programs, metallic epoxy, flake floors, epoxy flooring contest, concrete sealing, epoxy countertops, distribution, epoxy coatings, epoxy product guides, stamp concrete, education, epoxy project support, epoxy equipment, concrete overlays, concrete stains, professional training, b2b, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering",+1 855-723-7699,"Outlook, Microsoft Office 365, Cedexis Radar, WordPress.org, Google Tag Manager, Shopify, Vimeo, Google Maps (Non Paid Users), Google Maps, reCAPTCHA, Multilingual, Google Font API, Google translate API, YouTube, Mobile Friendly, Google translate widget, Ecwid, Adobe Media Optimizer, Apache",,,,,,,68c1a2eb4d57020001f6eba2,1742,32799,"Epoxy Depot, your source for epoxy coatings and training. Offering metallics, overlays, stamped concrete, concrete stains, epoxy counters, flake floors, dyed stained concrete, decorative concrete, training, and more.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/691b251d843e21000167403c/picture,,,,,,,,,,,,,,,,
Fast-Way,http://www.fastwaypizza.com,Cold,Concrete World 2025,1,restaurants,jason.hendrix@jamersan.com,http://www.linkedin.com/company/fastway-pizza,,,,,,,,,,+1 508-852-2300,"Cloudflare DNS, CloudFlare Hosting, Mobile Friendly",,,,,,,68c1a2eb4d57020001f6ebae,,,Home of the best pizza experience you will find! Just hear what our customers have said about Fasway Pizza:,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,,,,,,,,,,,,
Fibo Intercon A/S,http://www.fibointercon.com,Cold,Concrete World 2025,24,construction,jason.hendrix@jamersan.com,http://www.linkedin.com/company/fibo-intercon-as,https://www.facebook.com/fibointerconas/,,,,,,,,"complete concrete systems, vertical cement silos, big bag cement silos, semimobile winter plant, semi mobile concrete batching plant, concrete batching plant, horizontal cement silos, belt conveyors for concrete & aggregates, semimobile recycling plant, stationary concrete batching plant, mobile concrete batching plant, distribution, automated control systems, remote support, construction, on-site concrete production, mine stabilization concrete, automation, self-service concrete dispensing, high efficiency concrete systems, special concrete technology, mobile batching plants, b2b, foam concrete technology, customized solutions, industrial equipment, sustainable concrete solutions, d2c, water management, industry innovation, concrete recycling systems, b2c, modular concrete plants, water recycling systems, recycled aggregates, services, manufacturing, self-service concrete stations, sustainable construction materials, building materials, winter-ready concrete plants, recycling water, remote operation support, cost-effective production, digitalization in concrete production, environmentally friendly concrete, digital controls, high-quality concrete, concrete plant automation, 3d printing concrete, mining and oil and gas field machinery manufacturing, fast setup, e-commerce, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",+45 97 17 16 66,"SparkPost, Outlook, Microsoft Office 365, Hubspot, Google Maps (Non Paid Users), Google Analytics, Linkedin Marketing Solutions, WordPress.org, Google Tag Manager, Mobile Friendly, Bootstrap Framework, Facebook Widget, Google Maps, Google Font API, Facebook Custom Audiences, Vimeo, Facebook Login (Connect), Remote",,,,,,,68c1a2eb4d57020001f6ebb1,3531,33313,"Fibo Intercon is a company with over 70 years of experience in the concrete industry, specializing in the development, manufacturing, and supply of concrete batching plants and mobile concrete solutions. Founded in Denmark, it has grown into a leading global supplier focused on innovation, mobility, digitization, and sustainability.

The company offers a wide range of products, including fixed and mobile concrete batching plants, element factories, and customized solutions for construction projects of all sizes. Their product lineup features various batching plants, counterflow mixers, pump containers, dosing stations, and recycling plants. Fibo Intercon is dedicated to sustainability and fosters long-term partnerships, providing comprehensive support through a global network of partners and service technicians for installation, servicing, and training.

Fibo Intercon also leads in self-serve concrete solutions in Europe, enhancing customer convenience with unattended payment systems. Their commitment to quick service and sustainability positions them as a trusted partner in the construction and concrete industries worldwide.",1935,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66dbe01265f8d6000158604e/picture,,,,,,,,,,,,,,,,
Flecks Systems,http://www.fleckssystems.com,Cold,Concrete World 2025,1,recreational facilities & services,jason.hendrix@jamersan.com,http://www.linkedin.com/company/flecks-systems,,,,,,,,,"recreational facilities, facilities services",+1 732-569-6161,"Cloudflare DNS, Outlook, CloudFlare Hosting, Circle",,,,,,,68c1a2eb4d57020001f6ebb6,,,"Flecks® Systems, Inc. are innovators of thermoplatic rubber surfacing used to resurface pool decks, splash pads, zero entry pools, playgrounds, sports stadiums, equestrian safety surfacing as well as some other types of applications.  We strive to provide systems that offer long-term safety and performance.",2016,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/676885585a001900014f40e3/picture,,,,,,,,,,,,,,,,
Floor Coatings Warehouse,,Cold,Concrete World 2025,,,jason.hendrix@jamersan.com,,,,,,,,,,,,,,,,,,,68c1a2eb4d57020001f6ebba,,,,,,,,,,,,,,,,,,,,,
Fluke Corporation,http://www.fluke.com,Cold,"Concrete World 2025, Tooling & Fasteners",4200,electrical/electronic manufacturing,jason.hendrix@jamersan.com,http://www.linkedin.com/company/fluke-corporation,,,,,,,,,"electronic service installation & maintenance, precision measurement, analysis & diagnostic tools, calibration, biomedical equipment quality assurance, test & measurement, thermal imaging, predictive maintenance, condition monitoring software, appliances, electrical, & electronics manufacturing, electrical troubleshooting tools, thermal imaging cameras, electrical troubleshooting, operational efficiency, electronic test instruments, safety compliant measurement tools, electrical calibration, digital test tools, clamp meters, electrical safety equipment, e-commerce, electrical safety standards, services, field service tools, software for test and measurement, data acquisition software, electrical measurement devices, network infrastructure testing, portable test tools, aerospace test equipment, renewable energy testing, remote monitoring tools, electrical testers, electrical testing instruments, calibration and testing solutions, energy efficiency testing, automotive electrical testing, electrical measurement tools, rf and signal testing, electrical test equipment, electrical equipment manufacturing, industrial vibration analysis, medical equipment and supplies manufacturing, test and measurement equipment, network troubleshooting software, thermal imaging software, smart grid measurement tools, network testing tools, industrial test tools, b2b, electrical diagnostic equipment, calibration services, digital calibration software, industrial automation testing, power analysis software, industrial safety tools, field measurement tools, electrical testing solutions, energy management, hvac system testing, computer and peripheral equipment manufacturing, multimeters, wireless testing tools, power quality analyzers, calibration management systems, digital multimeters, electronic diagnostic tools, electrical maintenance tools, electrical diagnostic instruments, reliable test instruments, oscilloscopes, infrared cameras, calibration software, electrical safety tools, network certification tools, industrial calibration equipment, medical device calibration, calibration instruments, industrial equipment and supplies, electrical inspection tools, network and communication equipment manufacturing, medical test equipment, instrument management software, industrial automation, test instruments, electrical testing, acoustic imaging, network testers, pressure calibration, temperature measurement, battery analyzers, process calibration, flow calibration, rf calibration, data acquisition, condition monitoring, hvac tools, indoor air quality testing, laser distance meters, vibration analysis, installation testers, non-contact voltage measurement, electrical safety, emobility solutions, solar testing equipment, integration with labview, preventive maintenance, fault detection, environmental monitoring, battery backup systems, root cause analysis, dynamic monitoring, risk assessment tools, process instruments, network cable testing, data logging services, remote surveying, remote diagnostics, custom calibration, maintenance solutions, troubleshooting, wire tracers, intrinsically safe tools, emissions monitoring, acoustic emissions, leak detection systems, healthcare, education, manufacturing, distribution, electrical/electronic manufacturing, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services, oil & energy, health care, health, wellness & fitness, hospital & health care",+1 425-347-6100,"CloudFlare CDN, Route 53, Microsoft Office 365, CloudFlare Hosting, Facebook Conversion Tracking, Mixpanel, Backbone JS Library, Drupal, VueJS, Pantheon, Atlassian Cloud, Vercel, OneTrust, React Redux, Sage Intacct, Linkedin Marketing Solutions, Mobile Friendly, Eloqua, Zencoder, Amadesa, Google Play, Yahoo Ad Manager Plus, Vimeo, FullStory, Bazaarvoice, Yahoo Analytics, Bootstrap Framework, Squarespace ECommerce, Amazon Associates, Facebook Custom Audiences, DoubleClick Conversion, Google Tag Manager, The Trade Desk, Adobe Media Optimizer, WordPress.org, Google Dynamic Remarketing, Facebook Login (Connect), Catchpoint, Cedexis Radar, Multilingual, Bing Ads, Facebook Widget, Twitter Advertising, DoubleClick, YouTube, Varnish, Optimizely, SnapEngage, Google Analytics, Hotjar, Gravity Forms, Nginx, Remote",,,,,2000000000,,68c1a2eb4d57020001f6ebbd,3661,33411,"Fluke Corporation is an American manufacturer based in Everett, Washington, specializing in industrial test, measurement, and diagnostic equipment. Founded in 1948 by John Fluke, Sr., the company has become a global leader in portable electronic test tools and software. Fluke designs and produces a wide range of instruments, including handheld electronic test tools like multimeters and thermal imagers, industrial testing equipment such as calibration tools and power quality analyzers, and diagnostic equipment including oscilloscopes and network testers.

Fluke serves a diverse customer base across various sectors, including industrial and manufacturing, electrical contracting, aerospace, scientific research, and healthcare through its Fluke Biomedical division. The company is recognized for its rugged, portable, and user-friendly instruments that meet high-quality standards, making them suitable for a variety of applications. With a strong commitment to innovation, Fluke continues to expand its product offerings and maintain its position as a trusted name in the industry.",1948,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69284bcbf7a667000119ecd1/picture,Fortive,,,,,,,,,,,,,,,
Full Circle Water,http://www.fullcirclewater.com,Cold,Concrete World 2025,13,machinery,jason.hendrix@jamersan.com,http://www.linkedin.com/company/fullcirclewater,https://www.facebook.com/FullCircleWater,https://twitter.com/fullcirclewate,,,,,,,"waste water recycling, water reclamation, stone industry slurry water, automated filter press, slurry silo, rapid settlement systems, mudhen, concrete slurry water, coagulants & flocculants, water recycling, hydrodemolition, stone fabrication, filter press, clarifier, coagulant, flocculant, readymix, precast, industrial machinery manufacturing, consulting, commercial and service industry machinery manufacturing, services, slurry additive greatwhite, construction, water clarification, water clarification technology, water and wastewater treatment, water quality improvement, stone fabrication slurry management, b2b, automated water systems, water system automation, water system support, slurry treatment, automated filtration, chemical feed systems, manufacturing, industrial water treatment, self-cleaning filters, concrete slurry processing, ph balancing, chemical dosing, system integration, turnkey wastewater solutions, water reuse, water system maintenance, sustainability, ph control with ecoboss, wastewater treatment, water treatment chemistries, water system monitoring, commercial & service industry machinery manufacturing, mechanical or industrial engineering, environmental services, renewables & environment",+1 320-529-4035,"Outlook, Zendesk, Google Cloud Hosting, Mobile Friendly, Google Font API, Google Tag Manager, WordPress.org, reCAPTCHA, Nginx, Circle, Remote",,,,,,,68c1a2eb4d57020001f6ebca,3559,33331,"Full Circle Water develops and builds simple-to-use, turnkey wastewater solutions that make recycling water easier, less time-consuming and more cost-effective.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6920aeca83e40b0001e174b2/picture,,,,,,,,,,,,,,,,
Heller Tools GmbH,http://www.hellertools.com,Cold,"Concrete World 2025, Tooling & Fasteners",46,construction,jason.hendrix@jamersan.com,http://www.linkedin.com/company/heller-tools-germany,https://facebook.com/pages/ITW-Heller-Professional-Drilling-Solutions/374834325954302,,,,,,,,"werkzeuge & bohrer, safety and durability, concrete drill bits, drill bits, industrial tools, industrial equipment, mining and oil and gas field machinery manufacturing, patented technology, impact-resistant drill bits, professional hardware, innovative materials, blast-resistant manufacturing, power tools, safety standards, ergonomic design, manufacturing, b2b, innovation, made in germany, distribution, torsion bits, deep drilling systems, long-lasting drill bits, helix technology, cutting tools, product safety, construction, impact bits, carbide cutting edges, glass drill bits, professional-grade tools, diamond-coated blades, rebar drill bits, construction equipment, diamond tools, construction tools, rebar drilling, hammer drill bits, multi-material drill bits, precision manufacturing, professional tools, long service life, high-performance materials, e-commerce, specialized chisels, high-performance drill bits, user demands, industrial drilling, drilling tools, construction_real_estate, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",+49 444 396210,"SendInBlue, Outlook, Remote",,,,,,,68c1a2eb4d57020001f6ebe6,3541,33313,"For over 170 years, the name Heller has been inextricably linked with outstanding drilling tools made in Germany. Today, we offer drill bits for use in countless materials. In addition, our product portfolio now also includes the segments chisels, diamond tools, jig- and reciprocating saw blades, circular saw blades, bits and oscillating tools.",1849,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/691c87c6b81c1f000121f7d7/picture,,,,,,,,,,,,,,,,
Help Desk,http://www.helpdesk.com,Cold,Concrete World 2025,0,,jason.hendrix@jamersan.com,,https://www.facebook.com/helpdesktool,https://twitter.com/helpdeskcom,,,,,,,,+1 562-596-8110,"Cloudflare DNS, Postmark, Sendgrid, Gmail, Google Apps, MailChimp SPF, Amazon AWS, Netlify, React Redux, Facebook Custom Audiences, Hubspot, Vimeo, Hotjar, Wistia, Cloudinary, Facebook Widget, FullStory, Google Analytics Ecommerce Tracking, Adobe Media Optimizer, Cedexis Radar, Mobile Friendly, LiveChat, DoubleClick Conversion, Google Font API, Google Custom Search, Google Analytics, Google Tag Manager, Facebook Login (Connect), Google Dynamic Remarketing, DoubleClick",,,,,2800000,,68c1a2eb4d57020001f6ebe7,7380,,HelpDesk® software is a ticketing system you can use to manage customer communication in one smart place. Start for free. No credit card is required.,1995,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/618b7178cbee75000195d92a/picture,,,,,,,,,,,,,,,,
Hexagon,http://www.hexagon.com,Cold,"Concrete World 2025, Utility Expo 2025",5800,information technology & services,jason.hendrix@jamersan.com,http://www.linkedin.com/company/hexagonassetlifecycleintelligence,https://facebook.com/HexagonAB,https://twitter.com/HexagonAB,,,,,,,"enterprise engineering software, oil & gas, construction, engineering & design, information management, power, mining, project controls, chemical, 3d design software & technology, industry 40, cloud, iot, aec, shipbuilding, fabrication, software development, oil & energy, it management, information technology & services, maritime, manufacturing, mechanical or industrial engineering",+1 800-627-8479,"Route 53, Outlook, Microsoft Office 365, Microsoft Azure Hosting, Amazon SES, WP Engine, Atlassian Cloud, OneTrust, GitHub Hosting, Pardot, StatusPage IO, Salesforce Service Cloud, Salesforce Live Agent, Marketo, Salesforce, MongoDB, SuccessFactors (SAP), ServiceNow, VueJS, SalesLoft, Drift, Zendesk, Kenexa, Nginx, Ubuntu, Facebook Widget, reCAPTCHA, Mobile Friendly, AddThis, Google AdSense, Linkedin Marketing Solutions, SOASTA, Google AdWords Conversion, Vidyard, LiveRamp, Google Tag Manager, Telligent, Open AdStream (Appnexus), Mixpanel, DoubleClick, Twitter Advertising, Zencoder, Stripe, Cedexis Radar, Visualsoft, Google Play, Google Maps (Non Paid Users), Facebook Login (Connect), Cloudinary, Google Maps, YouTube, Microsoft-IIS, SoundCloud, Bootstrap Framework, Cvent, Highcharts JS Library, Wistia, Facebook Custom Audiences, Shutterstock, Google Dynamic Remarketing, The Trade Desk, Pingdom, iTunes, Hotjar, Litmos, Apache, Multilingual, iCIMS, DoubleClick Conversion, Vimeo, Adobe Media Optimizer, Backbone JS Library, Optimizely, Google Font API, WordPress.org, ASP.NET, FullStory, Google Analytics, SAP, Remote",,,,,5654925000,,68c1a2eb4d57020001f6ebe8,"7371, 7370",,"Hexagon Asset Lifecycle Intelligence is a division of Hexagon that provides digital solutions for the design, construction, and operation of industrial facilities. The company focuses on enhancing productivity and sustainability throughout the asset lifecycle by unlocking data and modernizing industrial projects. 

Its product portfolio includes Intergraph Smart® 3D, a 3D design software for plant engineering; Intergraph Smart® Completions, which automates asset information management; and PAS Cyber Integrity, a solution for cybersecurity in industrial operations. The division also offers software for engineering data management, plant design, and project management, among others.

Headquartered in Madison, Alabama, Hexagon Asset Lifecycle Intelligence employs around 2,400 people and serves clients in over 80 countries across various industries, including oil and gas, manufacturing, and infrastructure. The division is set to become a standalone software and SaaS company by early 2026, allowing it to focus on its growth strategy in asset lifecycle intelligence and related fields.",1992,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69269f7af97b330001b31185/picture,,,,,,,,,,,,,,,,
Holcombe Mixers,http://www.holcombemixers.com,Cold,Concrete World 2025,15,machinery,jason.hendrix@jamersan.com,http://www.linkedin.com/company/holcombe-mixers,https://facebook.com/holcombe-cvi-mobile-concrete-mixers-119031767390,,,,,,,,"volumetric concrete mixing solutions, mobile concrete mixer manufacturing, custom concrete equipment design, construction equipment innovation, onsite concrete production, machinery manufacturing",+1 866-834-1414,"Outlook, Microsoft Office 365, Flywheel",,,,,,,68c1a2eb4d57020001f6ebf2,,,"At Holcombe Mixers, we are pioneers in the construction equipment industry, specializing in innovative volumetric concrete mixer solutions. Our mission is to empower businesses across the globe with state-of-the-art equipment that transforms the way concrete is mixed, delivered, and utilized. For decades, we have combined engineering excellence with a customer-first approach, providing unmatched value to our clients in construction, infrastructure, and beyond.

Founded with a commitment to revolutionize the concrete mixing process, Holcombe Mixers has grown into a global leader in volumetric mixing technology. We take pride in our heritage and continuously strive to push the boundaries of what's possible in construction. Our mixers are built for durability, precision, and efficiency, ensuring that your projects are completed faster, with superior quality, and at a lower cost.

Why Choose Holcombe Mixers?
Precision Engineering: Our volumetric concrete mixers are designed with cutting-edge technology, ensuring precise mixing ratios for consistent, high-quality concrete every time.
Customizable Solutions: We offer a range of mixers that can be tailored to your specific needs, from small-scale residential projects to large-scale infrastructure developments.
Unmatched Durability: Built to withstand the harshest environments, our mixers are crafted from premium materials to ensure long-lasting performance.
Customer-Centric Approach: At Holcombe Mixers, we view our clients as partners. We work closely with you to understand your unique challenges and provide solutions that drive success.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6916e93b9f89e80001cbb763/picture,,,,,,,,,,,,,,,,
Hydronix,http://www.hydroguardwater.com,Cold,Concrete World 2025,0,,jason.hendrix@jamersan.com,,,,,,,,,,,+1 909-527-6996,"GoDaddy Hosting, Cloudflare DNS, Outlook, Microsoft Office 365, CloudFlare Hosting, WordPress.org, Mobile Friendly, reCAPTCHA, Woo Commerce, Varnish, Google Font API, Bootstrap Framework, Google Tag Manager",,,,,38969000,,68c1a2eb4d57020001f6ebf8,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/602f7447e2d411000109600f/picture,,,,,,,,,,,,,,,,
Innovative Equipment Supply Corp. - Kimera - Dakota -,,Cold,Concrete World 2025,,,jason.hendrix@jamersan.com,,,,,,,,,,,,,,,,,,,68c1a2eb4d57020001f6ec03,,,,,,,,,,,,,,,,,,,,,
