Company,Website,Platform,Revenue,Industry,Score,Tier,Fit Reasons,Concerns
LockNLube,http://www.locknlube.com,Shopify,N/A,machinery,50,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; DTC/e-commerce signals,No revenue data
City Restore Inc,http://www.cityrestore.com,Shopify,N/A,construction,50,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; DTC/e-commerce signals,No revenue data
DOPE Marketing,http://www.dopemarketing.com,Shopify,N/A,marketing & advertising,50,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; DTC/e-commerce signals,No revenue data
MudMixer,http://www.mudmixer.com,Shopify,N/A,construction,50,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; DTC/e-commerce signals,No revenue data
Vector Corrosion Technologies,http://www.vector-corrosion.com,Shopify,N/A,construction,45,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; Professional grade,No revenue data
FallTech,http://www.falltech.com,BigCommerce,"$17,000,000",construction,45,TIER 2 - VALIDATE,Revenue $17M; Priority vertical: electronics; High quality,"BigCommerce - small merchant, complex onboarding"
Construction Accessories - JackJaw Extractors,http://www.concretestakepuller.com,Shopify,"$11,807,000",,45,TIER 2 - VALIDATE,Shopify; Revenue $12M,
Stealth Guard PPE,http://www.stealtharmor.co,Shopify,N/A,,45,TIER 2 - VALIDATE,Shopify; Priority vertical: apparel; Premium products,No revenue data
Continental Abrasives,http://www.continentalabrasives.com,Shopify,N/A,retail,35,TIER 3 - UNLIKELY,Shopify; DTC/e-commerce signals,No revenue data
Bad Dog Tools,http://www.baddogtools.com,BigCommerce,N/A,machinery,35,TIER 3 - UNLIKELY,Priority vertical: electronics; Safety-critical; DTC/e-commerce signals,"BigCommerce - small merchant, complex onboarding; No revenue data"
Klein Electronics,http://www.kleinelectronics.com,BigCommerce,N/A,telecommunications,35,TIER 3 - UNLIKELY,Priority vertical: electronics; Professional grade; DTC/e-commerce signals,"BigCommerce - small merchant, complex onboarding; No revenue data"
Freeman Tools,http://www.freemantools.com,Shopify,N/A,construction,30,TIER 3 - UNLIKELY,Shopify; Professional grade,No revenue data
Con-Tech Manufacturing,http://www.ctmmixers.com,BigCommerce,"$3,305,000",automotive,30,TIER 3 - UNLIKELY,Priority vertical: electronics; Professional grade,"BigCommerce - small merchant, complex onboarding; Below $10M threshold ($3.3M)"
Martinez Tool Company,http://www.martineztools.com,Shopify,N/A,,25,TIER 3 - UNLIKELY,Shopify,No revenue data
Western States Cabling,http://www.wscable.com,BigCommerce,N/A,,5,TIER 3 - UNLIKELY,,"BigCommerce - small merchant, complex onboarding; No revenue data"
