Company,Website,Platform,Revenue,Industry,Score,Tier,Fit Reasons,Final Category
First Texas Products,http://www.firsttexasproducts.com,Shopify,"$36,210,000",electrical/electronic manufacturing,65,Fit,Shopify; Revenue $36M; Decision complexity; DTC signals,Cooper Verified
Viktos LLC,http://www.viktos.com,Shopify,Unknown,apparel & fashion,65,Fit,Shopify; Zendesk; Priority vertical: apparel & fashion; Decision complexity; DTC signals,Cooper Verified
Holosun Technologies Inc.,http://www.holosun.com,Unknown,"$56,750,000",sporting goods,65,Fit,Large merchant - platform agnostic; Revenue $57M; Priority vertical: sporting goods; Decision complexity,Cooper Verified
FoxFury,http://www.foxfury.com,Shopify,"$12,314,000",public safety,60,Fit,Shopify; Revenue $12M; Decision complexity; DTC signals,Cooper Verified
Kitanica,http://www.kitanica.com,Shopify,"$4,514,000",apparel & fashion,60,Fit,Shopify; Revenue $4.5M; Priority vertical: apparel & fashion; Decision complexity; DTC signals,Cooper Verified
YETI,http://www.yeti.com,Salesforce Commerce Cloud,"$1,829,873,000",mechanical or industrial engineering,60,Fit,Salesforce Commerce Cloud (large merchant - platform agnostic); Revenue $1830M; Decision complexity; DTC signals,Cooper Verified
WSI Sports,http://www.wsisports.com,Shopify,"$4,000,000",sporting goods,60,Fit,Shopify; Revenue $4.0M; Priority vertical: sporting goods; Decision complexity; DTC signals,Cooper Verified
Sydor Optics,http://www.sydor.com,Unknown,"$50,000,000",defense & space,60,Fit,Large merchant - platform agnostic; Revenue $50M; Decision complexity; DTC signals,Cooper Verified
Swarovski Optik North America Ltd.,http://www.swarovskioptik.com,Unknown,"$245,000,000",mechanical or industrial engineering,60,Fit,Large merchant - platform agnostic; Revenue $245M; Decision complexity; DTC signals,Cooper Verified
American Outdoor Brands,http://www.aob.com,WooCommerce,"$222,322,000",mechanical or industrial engineering,60,Fit,WooCommerce (large merchant - platform agnostic); Revenue $222M; Decision complexity; DTC signals,Cooper Verified
OLFA WORKS,http://www.olfa.com,Shopify,"$20,285,000",mechanical or industrial engineering,60,Fit,Shopify; Revenue $20M; DTC signals,Cooper Verified
NANUK,http://www.nanuk.com,Shopify,"$15,000,000",packaging & containers,60,Fit,Shopify; Revenue $15M; Decision complexity; DTC signals,Cooper Verified
Outdoor Sportsman Group,http://www.outdoorchannel.com,Unknown,"$87,000,000",media production,60,Fit,Large merchant - platform agnostic; Revenue $87M; Decision complexity; DTC signals,Cooper Verified
Seirus Innovation,http://www.seirus.com,Shopify,"$2,846,000",sporting goods,60,Fit,Shopify; Revenue $2.8M; Priority vertical: sporting goods; Decision complexity; DTC signals,Cooper Verified
Estwing Manufacturing,http://www.estwing.com,Unknown,"$66,300,000",mechanical or industrial engineering,60,Fit,Large merchant - platform agnostic; Revenue $66M; Decision complexity; DTC signals,Cooper Verified
Spyderco Inc.,http://www.spyderco.com,Shopify,"$18,000,000",consumer goods,60,Fit,Shopify; Revenue $18M; Decision complexity; DTC signals,Cooper Verified
Condor Outdoor Products,http://www.condoroutdoor.com,Shopify,"$2,966,000",sporting goods,60,Fit,Shopify; Revenue $3.0M; Priority vertical: sporting goods; Decision complexity; DTC signals,Cooper Verified
Neptune Trading,http://www.neptunetradinginc.com,Shopify,"$19,566,000",wholesale,60,Fit,Shopify; Revenue $20M; Decision complexity; DTC signals,Cooper Verified
Streamlight Inc.,http://www.streamlight.com,Unknown,"$69,237,000",electrical/electronic manufacturing,60,Fit,Large merchant - platform agnostic; Revenue $69M; Decision complexity; DTC signals,Cooper Verified
Kenyon Consumer Products,http://www.kenyon.us,Shopify,"$10,000,000",consumer goods,60,Fit,Shopify; Revenue $10M; Decision complexity; DTC signals,Cooper Verified
Radians Inc.,http://www.radians.com,Unknown,"$120,500,000",wholesale,60,Fit,Large merchant - platform agnostic; Revenue $120M; Decision complexity; DTC signals,Cooper Verified
Stone Glacier,http://www.stoneglacier.com,Shopify,"$11,100,000",mechanical or industrial engineering,60,Fit,Shopify; Revenue $11M; Decision complexity; DTC signals,Cooper Verified
