Company Name,Company Name for Emails,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Final Analysis of Qualification 3345,Prerequisite: Research Target Company,Assign as B2B or B2C 4355,Know if a company had executive changes 6825,Determine research guidelines 6759,Research target company 5822,E-Commerce Platform,Qualify Account,Prerequisite: Determine Research Guidelines,Column 1,Column 2
ACTinBlack,ACTinBlack,5,defense & space,http://www.actinblack.com,http://www.linkedin.com/company/actinblackus,,,,,,,,,"night vision & optics, defense & space manufacturing, battery life 25-40 hours, e-commerce, government, lightweight design, panning binocular, multi-mission night vision, night vision devices, night vision optics, auto shut-off, ir illuminator, advanced night vision technology, military night vision, night vision systems, user-focused night vision, rugged night vision devices, durable night vision, mil-std-810g, cost-effective night vision, electronics manufacturing, night vision solutions, waterproof night vision, helmet-mounted night vision, f/1.2 lens system, high reliability night vision, diopter adjustment, tactical night vision, b2b, convert binocular to monocular, law enforcement night vision, night vision binoculars, night vision monoculars, distribution, night vision equipment, manufacturing, reliable night vision, wide fov night vision, mil-spec night vision, independent monocular, night vision technology, commercial and service industry machinery manufacturing, dual tubes night vision, lightweight night vision, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering, commercial & service industry machinery manufacturing",+352 20 30 10 30,"Outlook, WordPress.org, Mobile Friendly, Nginx",,,,,,,68c19ef053185b0001bac074,3764,33331,"ACTinBlack (ACT) is a leading developer and manufacturer specializing in Advanced Night Vision Optics. In addition to producing high-quality Night Vision Equipment, ACT is a recognized researcher in the field of Night Vision Technologies. Working with the world's leading sub-suppliers as well as recognized experts in Optical and Night Vision research, ACT partners with law enforcement and military to develop premier quality Night Vision products and solutions.
ACT provides high-end products through years of experience and can offer qualified advice and service with a selection of products to fit the clients' needs. Knowing no two customers are the same, ACT provides customer specific solutions within a short reaction time to solve the most difficult of challenges.

Mission Statement:
""The team focuses on bringing to life ACTinBlack™ night vision solutions, utilizing extensive experience, expertise and capabilities, whilst following a disciplined and structured set of processes, helping our partners to achieve their mission objectives.""",2020,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/693881b6e64a8300017e1f2c/picture,,,,,,,,,,,,,,,,
Active Manufacturing,Active Manufacturing,22,medical devices,http://www.activemfg.net,http://www.linkedin.com/company/active-manufacturing,,,,,,,,,"metal stampings, springs, assemblies, machining, edm, fiber laser, laser tube cutting, metal clips, medical equipment manufacturing, medical devices, hospital & health care",+1 616-842-0800,"Outlook, Microsoft Office 365, Webtraxs, WordPress.org, Simpli.fi, reCAPTCHA, Google Tag Manager, Gravity Forms, Mobile Friendly, Remote",,,,,28134000,,68c19ef053185b0001bac077,,,"Active Manufacturing (www.activemfg.net) specializes in prototype and short run stampings, springs, assemblies and wire forms.  We are ISO and ITAR registered and specialize in parts that are difficult for others to make.  We have 3-5 axis CNC machining centers, 6 axis lasers, Multi axis fiber lasers, presses from 1-220 tons, servo presses, CNC spring and wire forming machines, radial riveters, EDM machines, laser, spot, micro spot, mig and tig welding and vision systems for inspection.  Normal lead time is 2-3 weeks.  We would appreciate a chance to earn your business.",1986,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/692facda54fe7c0001c19762/picture,,,,,,,,,,,,,,,,
Aero Precision,Aero Precision,190,sporting goods,http://www.aeroprecisionusa.com,http://www.linkedin.com/company/aero-precision,https://www.facebook.com/aeroprecisionusa/,https://twitter.com/aero_precision,,,,,,,"firearms manufacturing for commercial, law enforcement, military markets product design, development, engineering services machined component manufacturing, assembly prototype, low, high volume machining services contract, cmm inspection services, sporting goods manufacturing, prototype development, firearm parts production, firearm industry, firearm industry standards, firearm customization, aerospace manufacturing, custom machining, engineering services, firearm parts precision, firearm component engineering, aerospace quality standards, firearm parts manufacturing process, firearms engineering, firearm build kits, firearm component manufacturing, firearm parts standards, firearm parts supply chain management, firearm parts customization, firearm component design, firearm parts innovation, firearm parts quality standards, custom firearm components, firearm parts quality, cnc machining, product development, firearms manufacturing, aerospace-grade quality, firearm oem manufacturing, precision tolerances, large scale firearm manufacturing, firearm parts industry standards, ar platform parts, all other fabricated metal product manufacturing, firearm assembly, precision machining, retail, firearm industry supply chain, prototyping services, cnc firearm parts, firearms oem, ar-15 components, precision engineering, cnc manufacturing, military firearm parts, large volume production, firearm parts supplier, firearm parts development process, government, firearm parts supply chain, firearm parts inspection, mil-spec firearm parts, firearm parts design engineering, military-grade parts, firearm parts development, d2c, firearm parts manufacturing technology, firearm manufacturing solutions, firearm parts precision engineering, firearm accessories, firearm oem services, upper receivers, high-tolerance machining, lower receivers, small batch manufacturing, firearm parts prototyping, small batch firearm production, b2c, customer service, firearm parts supply, e-commerce, b2b, dimensional inspection, firearm prototype services, manufacturing, firearm upgrades, complete rifles, firearm parts technology, mil-spec components, firearm manufacturing, firearm parts inspection services, distribution, firearm parts engineering, firearm parts quality assurance, firearm parts design, aerospace engineering, consumer goods & retail, firearm parts industry, precision firearm parts, firearm parts quality control, firearm manufacturing technology, quality assurance, ar15 parts, complete uppers, suppressed firearms, gun accessories, firearms maintenance, handguards, build kits, rifle barrels, shooting gear, firearms parts, precision manufacturing, custom firearms, blem products, firearm optics, tactical apparel, lower parts kits, firearm safety, gun stocks, performance upgrades, muzzle devices, buffer kits, mail order firearms, customizable ar builds, bolt action rifles, complete firearm assemblies, lower receiver sets, high caliber rifles, modular firearms, semi-automatic rifles, custom cerakote finishes, performance suppressors, ar pistol components, enhanced firearm components, multi-caliber options, varmint rifles, tactical handguards, direct thread suppressors, firearm enhancement kits, home defense firearms, long range rifles, precision rifle components, shooting competition gear, firearm customization options, consumer products & retail, information technology & services, machinery, mechanical or industrial engineering, consumer internet, consumers, internet",+1 253-272-8188,"Fastly CDN, Outlook, Microsoft Office 365, Magento, Listrak, Upsellit, Vimeo, Google Places, YouTube, Google Maps, Google Tag Manager, Zopim, AvantMetrics, reCAPTCHA, New Relic, Yotpo, Google Analytics, Facebook Login (Connect), Google Font API, Mobile Friendly, Bing Ads, Sovrn, MouseFlow, Remote",,Other,,2013-11-01,511000,,68c19ef053185b0001bac08e,3531,33299,"Aero Precision, LLC is a manufacturing company located in Tacoma, Washington, specializing in high-quality firearms components. With a strong connection to the aerospace industry, the company emphasizes precision engineering and meticulous oversight in the design and production of its parts. Aero Precision is known for its commitment to maintaining razor-thin tolerances and adhering to military specifications, ensuring that its products deliver high performance and reliability.

The company focuses on manufacturing mil-spec parts and accessories, particularly for AR-15 and AR-10 firearms. Their product line includes receivers and various components designed to meet rigorous standards. Utilizing advanced manufacturing technologies, such as rail-guided robotic machinery and sophisticated machining centers, Aero Precision ensures consistent quality and exceptional performance in its products. The company serves a diverse customer base, including military and law enforcement, who value the reliability and precision of Aero Precision's offerings.",1994,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6931ffa2b54fb20001937acd/picture,,,,,,,,,,,,,,,,
AGI/American Gunsmithing Institute,AGI/American Gunsmithing Institute,8,mining & metals,http://www.americangunsmithinginstitute.net,http://www.linkedin.com/company/american-gunsmithing-institute,,,,,,,,,"mining, firearms design and repair, firearm repair for collectors, firearm rebarreling, manufacturing, firearm system analysis, firearm customization, firearm heat treating, firearm systems analysis, firearm shop setup, gunsmithing for beginners, hands-on classes, firearm schematics and diagrams, firearms repair, certification testing, firearms safety, d2c, gunsmithing certification programs, firearm shop setup and management, firearm heat treatment and hardening, firearm custom building, firearm restoration for antique guns, firearm finishing, gunsmithing tools, custom gunsmithing, welding for gunsmiths, firearm system analysis and diagnosis, firearm maintenance, firearm disassembly, firearms systems analysis, video instruction, rifle repair, custom firearm building and modification, firearm schematics, education, firearm troubleshooting, firearm history, gunsmithing business success, firearms troubleshooting, firearm parts identification, gunsmithing history, firearm industry knowledge, firearms design, firearm system troubleshooting, firearm welding and metal finishing, firearm safety, firearm rebarreling and chambering, certified gunsmith, handgun repair, gunsmithing courses, consumer goods & retail, services, advanced gunsmithing, firearm blueprinting, firearm restoration, firearm parts fabrication, firearm customization techniques, gunsmithing support, firearm repair, firearm safety and handling, firearm restoration and refinishing, firearm repair techniques, firearm reassembly, firearm business training, video-based instruction, firearm modification, firearms reassembly, gunsmithing techniques, firearms customization, firearm troubleshooting and diagnostics, technical and trade schools, b2c, firearm parts catalog, dvd courses, shotgun repair, gunsmithing certification, self-paced learning, firearm building, gunsmith business training, firearm disassembly and reassembly, firearm safety training, gunsmithing education, gun system analysis, firearms disassembly, firearm welding, gunsmithing shop setup, e-commerce, consumer products & retail, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",,"Outlook, Microsoft Office 365, WP Engine, Reviews, Circle",,,,,,,68c19ef053185b0001bac094,8244,61151,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,,,,,,,,,,,,
Aitor Knives,Aitor Knives,2,military,http://www.knivesaitor.com,http://www.linkedin.com/company/knivesaitor,,,,,,,,,"armed forces, military",,"SendInBlue, Google Cloud Hosting, Android",,,,,,,68c19ef053185b0001bac0a5,,,Ninguna herramienta es tan perfecta como la mano del hombre. Persiguiendo esa perfección inalcanzable en AITOR llevamos 85 años diseñando y fabricando una excepcional gama de cuchillería deportiva.,1939,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6914910535273400010fb5b3/picture,,,,,,,,,,,,,,,,
Alexandria Industries,Alexandria Industries,540,mechanical or industrial engineering,http://www.alexandriaindustries.com,http://www.linkedin.com/company/alexandria-industries,https://www.facebook.com/alexandriaindustries/,https://twitter.com/a_industries,,,,,,,"precision aluminum extrusions, ferrous & nonferrous machining, heat transfer products, plastic injection & foam molding components, chemical finishing, assembly & welding, manufacturing, forming, finishing, welding services, services, high-tolerance extrusions, custom manufacturing, quality control, product customization, precision cnc, welding, foam molding, design support, customer collaboration, compliance, assembly, product assembly, component packaging, machining, distribution, mechanical finishing, innovative solutions, b2b, custom aluminum extrusions, full-service supplier, fabrication, heat sinks, aluminum extrusions, precision manufacturing, cnc machining, product development, personalized service, industry-leading technology, spring and wire product manufacturing, extrusion design, extremetch finish, made in america, stretch forming, certifications, plastic injection molding, tolerance control, mechanical or industrial engineering, machinery, spring & wire product manufacturing, mining & metals",+1 800-568-6601,"Mimecast, Outlook, Microsoft Office 365, Google Cloud Hosting, iContact, Linkedin Marketing Solutions, Hotjar, Bootstrap Framework, UltiPro, Google Analytics, reCAPTCHA, Nginx, Woo Commerce, Bing Ads, Google Font API, Kenshoo, Google Tag Manager, WordPress.org, Mobile Friendly, Quantcast, Gravity Forms, Remote",,,,,100000000,,68c19ef053185b0001bac0b0,3444,33261,"Alexandria Industries is a prominent American manufacturer based in Alexandria, Minnesota, specializing in custom aluminum extrusions and a variety of manufacturing services. Established in 1966, the company operates four locations across Minnesota and Indiana, employing over 500 people and generating around $155 million in revenue.

The company offers a wide range of manufacturing capabilities, including custom aluminum extrusion, precision machining, stretch forming and bending, heatsink manufacturing, and plastic injection molding through its Alexandria Plastics division. Additionally, Alexandria Industries provides welding services and comprehensive assembly and fabrication solutions. This integrated approach allows customers to streamline their supply chains by accessing multiple services from a single source.

With a commitment to high-quality components and innovative product development, Alexandria Industries serves a diverse clientele, including original equipment manufacturers (OEMs) and businesses needing custom components. The company emphasizes collaboration with customers to address complex manufacturing challenges effectively.",1966,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6935fa3e7ed3310001e4d034/picture,,,,,,,,,,,,,,,,
All About Packaging,All About Packaging,20,packaging & containers,http://www.aapack.com,http://www.linkedin.com/company/all-about-packaging-inc.,https://www.facebook.com/aboutpackaging,https://twitter.com/AboutPackaging,,,,,,,"structural & graphic design, fulfillment, thermoforming, packaging & containers manufacturing, aesthetic appeal, custom solutions, family-owned, sustainable packaging, services, recyclable plastics, structural design, custom patterns, perimeter snap fit, product development, innovative packaging, textured packaging, thermoformed packaging, proprietary packaging, packaging manufacturer, prototype development, rf sealing, b2b, impact-modified plastics, single-source provider, manufacturing, clamshell packaging, industrial equipment, paperboard packaging, medical tray packaging, inventory management, rf tear sealing, sustainable materials, medical packaging, blister packaging, retail, pushpin closures, packaging process, structural design software, custom packaging solutions, rapid prototyping, quality assurance, structural integrity, design & engineering, label application, material selection, stapling closures, medical devices, custom trays, other plastics product manufacturing, product fulfillment, packaging design, industry standards, full-service fulfillment, healthcare, industrial, medical, sustainable, shipping, logistics & supply chain, mechanical or industrial engineering, hospital & health care, health care, health, wellness & fitness",+1 920-830-2700,"Microsoft Office 365, Nginx, WordPress.org, Mobile Friendly, Remote, AI",,,,,7100000,,68c19ef053185b0001bac0b4,3999,32619,"At All About Packaging Inc., founded in 1997, we provide outstanding customer service with the flexibility to produce high quality packaging on time. We are your one source for custom structural and graphic design, custom mold building, prototypes, thermoforming, printing and fulfillment. We are constantly investing in innovative solutions and creating sustainable packaging options. Products include clam shells, blisters and cards, folding cartons, labels and our award winning VeriLock® clear slide blister package. We can take your packaging needs from concept to completion, all in one organization.",1997,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/692ead403f42930001e3b54d/picture,,,,,,,,,,,,,,,,
Allen Company,Allen Company,99,sporting goods,http://www.byallen.com,http://www.linkedin.com/company/allen-company,https://facebook.com/allenoutdoors/,https://twitter.com/AllenCoHunting,,,,,,,"hunting, shooting, archery, fishing",+1 303-469-1857,"Cloudflare DNS, Outlook, CloudFlare Hosting",,,,,15000000,,68c19ef053185b0001bac0b7,7900,,"Allen Company is a family-owned outdoor gear manufacturer and retailer based in Louisville, Colorado, established in 1970. The company specializes in a wide range of products, including hunting, shooting, archery, tactical gear, and fishing accessories. Known for its durable soft firearm cases, Allen Company has built a strong reputation in the outdoor industry.

With approximately $28.2 million in revenue and around 117 employees, Allen Company serves a diverse customer base of outdoor enthusiasts, from casual hobbyists to serious professionals. Their products are designed and tested by outdoor experts to ensure high performance and reliability. Committed to quality and customer satisfaction, Allen Company proudly manufactures its products in the USA, enhancing the outdoor experience for its customers.",1970,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/692f4068c7271d0001539426/picture,,,,,,,,,,,,,,,,
Altanova Manufacturing,Altanova Manufacturing,4,machinery,http://www.altanovamfg.com,http://www.linkedin.com/company/altanovamanufacturing,,,,,,,,,"cnc milling & cnc turning, cnc turning, cnc milling, industrial machinery manufacturing, consulting, tight tolerance manufacturing, supply chain support, contract manufacturing, design support, support for startups and fortune 500, cnc horizontal milling, medical industry support, product development, manufacturing, b2b, production planning, metrology, mechanical assemblies, inspection tooling, high speed drill/tap mills, cosmetic quality parts, services, aerospace, semiconductor industry support, medical devices, high-speed equipment, defense, precision machining, manufacturing support, cnc machining, challenging materials, precision parts, full production capabilities, military materials handling, live tooling, dfm support, machine shops, advanced machining, quality assurance, 4th axis cnc, cnc vertical milling, electromechanical assembly, healthcare, medical, precision manufacturing, metalworking, cnc, assembly, mechanical or industrial engineering, hospital & health care, machinery, health care, health, wellness & fitness",+1 408-362-1700,"Outlook, GoDaddy Hosting, Mobile Friendly, Apache, WordPress.org, Google Font API, Remote",,,,,,,68c19ef053185b0001bac0c6,3599,33271,We provide advanced CNC machining services to a wide range of industries.,1995,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66ebbc8758e92700016b7838/picture,,,,,,,,,,,,,,,,
"ALTUS BRANDS, LLC",ALTUS BRANDS,5,sporting goods,http://www.altusbrands.com,http://www.linkedin.com/company/altus-brands-llc,,,,,,,,,"sporting goods manufacturing, outdoor industry, outdoor sports innovation, all other miscellaneous manufacturing, reliability and durability, small manufacturer acquisition, recreational shooting accessories, hearing enhancement technology, distribution, outdoor recreation, retail distribution, manufacturing, firearm storage, precision manufacturing, product innovation, small cap companies, entrepreneurial brands, small batch manufacturing, firearm safety products, b2c, benchmaster, services, recreational products, pro ears, manufacturing in the united states, small business growth, handcrafted firearm rests, product development, quality craftsmanship, firearm accessories, b2b, product design, brand nurturing, shooting accessories, retail, brand development, outdoor sporting equipment, firearm safety equipment, made in usa, electronic hearing protection, hunting gear, customer trust, competitive shooting gear, outdoor sporting community, shooting sports, brand acquisition, brand portfolio, sporting goods, hearing protection, customer service, mechanical or industrial engineering",+1 231-421-3810,"Outlook, Microsoft Office 365, WordPress.org, Mobile Friendly, Google Font API, Google Tag Manager, Bootstrap Framework, Android, Circle, Render",,,,,7119000,,68c19ef053185b0001bac0cb,5099,33999,"Altus Brands is a Michigan-based sporting goods company that manufactures and distributes hunting, fishing, shooting, and outdoor recreation products for individuals.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,,,,,,,,,,,,
American Defense Mfg,American Defense Mfg,5,defense & space,http://www.admmfg.com,http://www.linkedin.com/company/american-defense-mfg,https://www.facebook.com/AmericanDefenseMFG,https://twitter.com/ADMMFG,,,,,,,"illumination mounts, target acquisition device mounts, general manufacturing, private label manufacturing, optical mounts, ambidextrous firearms, qd mounting solutions, oem manufacturing, titanium, variance manufacturing, defense & space manufacturing, high quality firearms, military-grade rifles, ambidextrous controls, accessories, optic packages, b2c, services, bipod packages, firearm parts, precision rifle components, retail, firearm accessories, defense and military equipment, innovation, e-commerce, ar15 platform rifles, b2b, d2c, firearm mounts, law enforcement firearms, ar10 platform rifles, firearms manufacturing, suppressors, patented mounting solutions, ambidextrous ar15 rifles, performance, competitive shooting gear, government, apparel, replacement parts, quick detach mounts, all other fabricated metal product manufacturing, sporting goods, customer service, firearms, military, law enforcement, self-defense, recreational, competitive shooting, consumer internet, consumers, internet, information technology & services",+1 262-780-9831,"Cloudflare DNS, Outlook, CloudFlare Hosting, Amazon AWS, Mobile Friendly, Google Analytics, Google Font API, Google Maps, Google Maps (Non Paid Users), Cedexis Radar, reCAPTCHA, Google Tag Manager, Vimeo, Adobe Media Optimizer, Amadesa, Render",,,,,9618000,,68c19ef053185b0001bac0d1,3482,33299,"American Defense Mfg® (ADM) is a Wisconsin based manufacture of optical, illumination, and target acquisition device mounting solutions, as well as, a complete line of patented ambidextrous firearms. ADM also private labels and OEM's for some of the most prestigious military and law enforcement brands in the industry. All ADM products are 100% designed and built with US sourced material in New Berlin, Wisconsin.",2000,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/670af4aacc2d4b0001175752/picture,,,,,,,,,,,,,,,,
ANECHOIC,ANECHOIC,,,,,,,,,,,,,,,,,,,,,,68c19ef053185b0001bac0ea,,,,,,,,,,,,,,,,,,,,,
Annealing Made Perfect,Annealing Made Perfect,0,management consulting,http://www.ampannealing.com,http://www.linkedin.com/company/annealing-made-perfect,https://facebook.com/AMPannealing,,,,,,,,"business consulting & services, management consulting",,"Cloudflare DNS, Outlook, CloudFlare Hosting",,,,,,,68c19ef053185b0001bac0ef,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac09a4ccae0001634980/picture,,,,,,,,,,,,,,,,
Armatac,Armatac,4,defense & space,http://www.armatac.com,http://www.linkedin.com/company/armatac-industries-inc,https://facebook.com/armatacinc,,,,,,,,"itar registered, manufacturer, 300 ton minster press line, cnc machining, government contractor, cnc turning, defense & space manufacturing, b2c, durable polymer magazines, military logistics, high capacity drum magazine, high capacity firearm feeding, d2c, e-commerce, retail, oem firearm components, law enforcement equipment, all other fabricated metal product manufacturing, government, military-grade magazines, steel tower magazines, light machine gun replacement, support weaponry, firearm accessories, b2b, firearm innovation, firearms & ammunition, combat equipment, support weapon magazines, combat strategy equipment, tactical gear, saw-mag, american made firearms parts, defense & security, high capacity magazines, manufacturing, military equipment, military firearm accessories, sport shooting accessories, ar-15 compatible magazines, weapon feeding systems, magazine design, military logistics solutions, stanag 4179 compliant, sporting goods, battlefield equipment, high capacity feeding device, ar-15 drum magazine, firearms, military, law enforcement, sport shooting, made_in_usa, high_capacity, drum_magazine, stanag_4179, machinery, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",+1 319-523-6046,"Facebook Login (Connect), Woo Commerce, Facebook Widget, WordPress.org, Apache, Data Analytics, Remote, AI",,,,,22576000,,68c19ef053185b0001bac10d,3482,33299,"The SAW-MAG™ offers for the first time a reliable and efficient AR-15 Drum Magazine. The SAW-Mag 150 round magazine for the AR15 pattern .223/5.56mm rifle and all weapons accepting AR-15 / AR15 / M16 magazines using the STANAG 4179 standard.

Designed to fit NATO standard (STANAG-4179) rifles, the SAW-MAG™ quickly converts a rifleman with a standard M4 into automatic support personnel. The flexibility of such force multiplication makes the SAW-MAG™ the most dominant accessory for the M4/M16/M27/HK416 family of weapons.

The SAW-MAG™ is a hybrid design externally constructed of thick walled long glass polymer and steel. This allows the magazine to have the durability to survive real world conditions. The hardened steel USGI tower allows it to fit into any weapon that accepts the 30 round standard magazine. All parts are from production tooling for precision and economics.

The SAW-MAG™ was designed to have the lowest operating drag due to friction. The ammunition is contained individually inside the drums on sprockets, each cartridge gets its own separate space, the ammunition is picked off the sprockets when they spin, not a typical high friction convergence found on cheaper designs. This is why our system does not require graphite lubrication to work. Instead of funneling the ammunition, the SAW-MAG™ uses a proprietary design that allows the ammunition to always be in a singular stream which results in a very low friction operation.

Caliber-5.56mm/.223
 Weight 4.9 lbs empty
 8.0 lbs loaded
 The Molle Carry Bag adds 0.8 lbs
 (SAW-MAG™ loaded+ HK416 =16lbs (M249 Unloaded 17lbs)
 Capacity-150 Rounds
 Color-Black only
 Body Material- Hi-impact Glass Nylon
 Tower-Heat Treated Steel to USGI specs
 Dimensions- 13.5″L x 3.25″W x 6.5″H",2005,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/670f3dd2c4d6430001c6dc9a/picture,,,,,,,,,,,,,,,,
Armed Guns,Armed Guns,0,sporting goods,http://www.armedguns.com.tr,http://www.linkedin.com/company/armed-guns,https://www.facebook.com/ArmedGunsTurkey,https://twitter.com/armedguns,,,,,,,sporting goods manufacturing,+90 232 464 5650,"Mobile Friendly, Google Font API",,,,,,,68c19ef053185b0001bac10e,,,"Mr. M. Ilker Izmirlioglu, who is the owner of both manufacturing and exporting companies Armed Guns Mnf. co. and Izmirlioglu Av Malz., has established the companies in 2006 in Izmir - Turkey. The İdea was to bring the honesty, reliability, quality and a good after sale service for gun business. He did all this things and started exporting his products to 40 countries all around the world. Since than, he gained many valuable friends from all over the world. We call it Reliable Shooting and you call it Armed. Enjoy your Armed shotgun and shoot in safe.",2006,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/690c692a95ed380001c348c9/picture,,,,,,,,,,,,,,,,
Armory of Kings,Armory of Kings,,,http://www.armoryofkings.com,,,,,,,,,,,,,,,,,,,68c19ef053185b0001bac114,,,,,,,,,,,,,,,,,,,,,
Armsan,Armsan,300,defense & space,http://www.armsan.com,http://www.linkedin.com/company/armsan-silah-san-ve-tic-a-,https://www.facebook.com/ArmsanOfficial/,,,,,,,,"defense & space manufacturing, co-production, hunting rifles, firearms design, joint projects, smoothbore rifles, turkey firearms manufacturer, iso 9001:2015, all other fabricated metal product manufacturing, joint firearm projects, quality control, high-tech machinery, advanced machinery, saami standards, turkey, advanced quality control, distribution, firearms manufacturing, b2b, distributor network, light guns, light firearm development, firearms production, manufacturing, international standards compliance, export, collaborations, cip standards, light firearms, turkey firearms industry, export to 50 countries, light weapon manufacturing, high-precision manufacturing, international standards, quality management system, firearms industry, product development, quality standards, smoothbore rifle manufacturing, global exports, global markets, co-production with global brands, iso 9001:2015 certified, mechanical or industrial engineering, international trade & development",+90 216 630 2600,"Mobile Friendly, reCAPTCHA, Google Tag Manager, Microsoft-IIS",,,,,,,68c19ef053185b0001bac117,3699,33299,"Armsan is a Turkish firearms manufacturer based in Istanbul, established in 2006. It is recognized as one of the leading arms producers in Turkey and is the third largest shotgun producer in the country, with a monthly production capacity of around 3,500 shotguns. Armsan ranks 12th in Turkey’s defense sector.

The company specializes in a range of products, including smoothbore hunting and sporting shotguns, defense and tactical shotguns, single-shot non-lethal smooth grenade launchers, and modular pump-action shotguns. Armsan emphasizes high-tech manufacturing and adheres to international quality standards, with its products certified by TSE, CIP, and SAAMI. The company’s quality management system is ISO 9001:2015 certified, ensuring consistent product quality.

Armsan operates globally, with distributors in approximately 50 countries across six continents. The company also collaborates on co-production and joint development projects with well-known firearms brands, enhancing its technological expertise and market presence.",2006,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/692572ca2e2ab60001615e76/picture,,,,,,,,,,,,,,,,
Arrow Finishing,Arrow Finishing,76,mechanical or industrial engineering,http://www.arrowfinishing.com,http://www.linkedin.com/company/arrowfinishinginc,,https://twitter.com/ArrowFinishing,,,,,,,"anodize, laser marking, thermal deburring, annealing plastics, passivation, chromate conversion, clean room services, cryogenic deburring, dry film lube, descaling, precision blast finishing, precision hand deburring, uitrasonic cleaning, vapor polishing, vibratory tumbling, harperizing, centrifugal finishing, nadcap, iso 90012015, vapor degreasing, electropolishing, cerakote, shot blasting, cleanroom, ultrasonic cleaning, medical devices, anodizing, all other miscellaneous manufacturing, quality control, straight line sanding, material processing, deburring methods, precision surface finishing, medical, surface finishing, abrasive blasting, manufacturing, texturizing, passivation astm a967, nadcap accreditation, surface cleaning & preparation, cerakote coatings, aerospace, b2b, chemical processing, automated grit blasting, surface salvaging, iso 9001:2015, industry certifications, surface coatings, laser engraving, custom surface solutions, services, high-volume projects, material testing, surface texturing, defense, ultrasonic & aqueous cleaning, healthcare, firearms, certifications, industry_verticals, naics_code, hospital & health care, mechanical or industrial engineering, health care, health, wellness & fitness",+1 763-780-3367,"DNSimple, Outlook, Microsoft Office 365, Zendesk, Amazon AWS, DoubleClick Conversion, DoubleClick, A2Z Inc, Vimeo, WordPress.org, Typekit, Squarespace ECommerce, Gravity Forms, Hotjar, Webtraxs, Google Tag Manager, reCAPTCHA, Google Dynamic Remarketing, Visual Website Optimizer, Mobile Friendly, YouTube, Nginx, Remote",,,,,26890000,,68c19ef053185b0001bac11a,3471,33999,"Arrow Finishing Inc. is a precision surface finishing company located in Blaine, Minnesota, with over 40 years of experience. The company operates from a modern facility exceeding 130,000 square feet and specializes in a variety of services, including chemical processing, deburring, cleaning, coating, and finishing for metals and plastics. They serve a wide range of industries such as aerospace, automotive, electronics, firearms, medical, and industrial machinery.

Their service offerings include anodizing, cerakote coatings, passivation, electropolishing, thermal and cryogenic deburring, vapor polishing, laser marking, blasting, tumbling, burnishing, engraving, and cleanroom cleaning and packaging. Arrow Finishing is certified to meet various industry standards, including NADCAP accreditation and ISO 9001:2015 certification, ensuring high-quality service. The company processes over 16,000 parts annually and manages more than 32,000 purchase orders, catering to a diverse customer base across 45 states. They focus on precision and efficiency, providing tailored finishing solutions for both high-volume and smaller production needs.",1983,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69361fc96221590001abbd4e/picture,,,,,,,,,,,,,,,,
Artex Knitting Mills,Artex Knitting Mills,18,textiles,http://www.artexknit.com,http://www.linkedin.com/company/artex-knitting-mills-inc-,https://facebook.com/pages/Artex-Knitting-Mills/305659972894578,https://twitter.com/artexknitting,,,,,,,"textile manufacturing, textiles",+1 856-456-2800,"Outlook, Microsoft Office 365, Mobile Friendly, Google Font API, Apache, WordPress.org, reCAPTCHA, Facebook Widget, Google Tag Manager, Facebook Login (Connect)",,,,,18758000,,68c19ef053185b0001bac11b,,,Artex Knitting Mills is a family owned business that has been knitting fine products. It's one of the last great knitting mills in the USA. Delivering quality trimming goods at low prices. Artex is American manufactured.,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,,,,,,,,,,,,
